0.39, 0.00
0.39, 0.00
0.39, 0.00
0.39, 0.00
0.38, 0.00
0.35, 0.00
0.34, 0.00
0.30, 0.00
0.04, 0.01
-0.06, 0.01
-0.13, 0.01
-0.19, 0.01
-0.46, 0.02
-0.60, 0.02
-0.74, 0.02
-0.78, 0.02
-0.83, 0.02
-0.86, 0.03
-0.90, 0.03
-0.93, 0.03
-0.99, 0.03
-1.05, 0.03
-1.07, 0.04
-1.09, 0.04
-1.06, 0.04
-1.04, 0.04
-0.99, 0.04
-1.02, 0.04
-0.66, 0.06
-0.61, 0.06
-0.52, 0.06
-0.39, 0.06
-0.30, 0.06
-0.17, 0.06
0.13, 0.07
0.21, 0.07
0.37, 0.07
0.41, 0.07
0.47, 0.07
0.47, 0.08
0.46, 0.08
0.47, 0.08
0.50, 0.09
0.45, 0.09
0.37, 0.09
0.32, 0.10
0.26, 0.10
0.11, 0.10
-0.24, 0.11
-0.32, 0.11
-0.44, 0.11
-0.68, 0.12
-0.80, 0.12
-0.89, 0.12
-0.96, 0.13
-1.04, 0.13
-1.14, 0.13
-0.83, 0.14
-0.77, 0.14
-0.62, 0.14
-0.34, 0.16
-0.24, 0.16
-0.15, 0.16
0.02, 0.16
0.15, 0.17
0.30, 0.17
0.53, 0.17
0.88, 0.18
1.01, 0.18
1.09, 0.18
1.23, 0.19
1.29, 0.19
1.22, 0.19
1.20, 0.20
1.17, 0.20
1.17, 0.20
1.10, 0.21
1.03, 0.21
0.95, 0.21
0.75, 0.22
0.65, 0.22
0.61, 0.22
0.41, 0.23
0.39, 0.23
0.40, 0.23
0.18, 0.24
0.17, 0.24
0.12, 0.24
0.06, 0.26
0.03, 0.26
0.00, 0.26
-0.08, 0.27
-0.12, 0.27
-0.13, 0.27
-0.27, 0.28
-0.35, 0.28
-0.36, 0.28
-0.43, 0.29
-0.47, 0.29
-0.38, 0.29
-0.40, 0.30
-0.34, 0.30
-0.41, 0.30
-0.35, 0.31
-0.38, 0.31
-0.45, 0.31
-0.38, 0.32
-0.44, 0.32
-0.46, 0.32
-0.54, 0.33
-0.56, 0.33
-0.44, 0.33
-0.39, 0.34
-0.33, 0.34
-0.27, 0.34
-0.22, 0.36
-0.13, 0.36
-0.11, 0.36
-0.08, 0.37
-0.03, 0.37
0.01, 0.37
0.20, 0.38
0.19, 0.38
0.21, 0.38
0.24, 0.39
0.23, 0.39
0.28, 0.39
0.29, 0.40
0.25, 0.40
0.28, 0.40
0.15, 0.41
0.15, 0.41
0.14, 0.41
0.00, 0.42
0.03, 0.42
-0.02, 0.42
-0.06, 0.43
-0.12, 0.43
-0.06, 0.43
-0.12, 0.44
-0.13, 0.44
-0.15, 0.44
-0.13, 0.46
-0.04, 0.46
0.03, 0.46
0.18, 0.47
0.27, 0.47
0.29, 0.47
0.34, 0.48
0.42, 0.48
0.46, 0.48
0.57, 0.49
0.58, 0.49
0.50, 0.49
0.43, 0.50
0.42, 0.50
0.32, 0.50
0.14, 0.51
0.12, 0.51
0.03, 0.51
-0.13, 0.52
-0.14, 0.52
-0.24, 0.52
-0.24, 0.53
-0.31, 0.53
-0.44, 0.53
-0.42, 0.54
-0.54, 0.54
-0.57, 0.54
-0.62, 0.56
-0.70, 0.56
-0.66, 0.56
-0.67, 0.57
-0.64, 0.57
-0.62, 0.57
-0.57, 0.58
-0.46, 0.58
-0.45, 0.58
-0.24, 0.59
-0.21, 0.59
-0.23, 0.59
-0.19, 0.60
-0.16, 0.60
-0.10, 0.60
0.20, 0.61
0.22, 0.61
0.21, 0.61
0.27, 0.62
0.31, 0.62
0.37, 0.62
0.37, 0.63
0.45, 0.63
0.47, 0.63
0.47, 0.64
0.51, 0.64
0.55, 0.64
0.53, 0.66
0.55, 0.66
0.41, 0.66
0.32, 0.67
0.38, 0.67
0.32, 0.67
0.23, 0.68
0.19, 0.68
0.09, 0.68
-0.05, 0.69
-0.23, 0.69
-0.36, 0.69
-0.33, 0.70
-0.43, 0.70
-0.44, 0.70
-0.63, 0.71
-0.66, 0.71
-0.69, 0.71
-0.73, 0.72
-0.73, 0.72
-0.68, 0.72
-0.84, 0.73
-0.75, 0.73
-0.68, 0.73
-0.52, 0.74
-0.49, 0.74
-0.49, 0.74
-0.37, 0.76
-0.34, 0.76
-0.34, 0.76
-0.14, 0.77
-0.14, 0.77
-0.11, 0.77
-0.21, 0.78
-0.22, 0.78
-0.13, 0.78
-0.12, 0.79
-0.06, 0.79
-0.07, 0.79
-0.03, 0.80
0.07, 0.80
0.07, 0.80
0.12, 0.81
0.06, 0.81
0.04, 0.81
0.14, 0.82
0.12, 0.82
0.03, 0.82
0.04, 0.83
-0.06, 0.83
-0.08, 0.83
-0.12, 0.84
-0.17, 0.84
-0.15, 0.84
-0.17, 0.86
-0.16, 0.86
-0.16, 0.86
-0.13, 0.87
-0.04, 0.87
-0.01, 0.87
0.17, 0.88
0.29, 0.88
0.34, 0.88
0.53, 0.89
0.65, 0.89
0.70, 0.89
0.82, 0.90
0.80, 0.90
0.91, 0.90
0.82, 0.91
0.79, 0.91
0.73, 0.91
0.68, 0.92
0.58, 0.92
0.52, 0.92
0.44, 0.93
0.36, 0.93
0.29, 0.93
0.19, 0.94
0.12, 0.94
0.04, 0.94
-0.09, 0.96
-0.12, 0.96
-0.25, 0.96
-0.37, 0.97
-0.38, 0.97
-0.50, 0.97
-0.55, 0.98
-0.66, 0.98
-0.74, 0.98
-0.72, 0.99
-0.75, 0.99
-0.70, 0.99
-0.78, 1.00
-0.77, 1.00
-0.66, 1.00
-0.55, 1.01
-0.47, 1.01
-0.42, 1.01
-0.26, 1.02
-0.19, 1.02
-0.14, 1.02
-0.03, 1.03
0.04, 1.03
0.07, 1.03
0.26, 1.04
0.32, 1.04
0.41, 1.04
0.57, 1.06
0.69, 1.06
0.90, 1.06
1.20, 1.07
1.34, 1.07
1.49, 1.07
1.58, 1.07
1.82, 1.08
1.97, 1.08
2.09, 1.08
2.23, 1.08
2.43, 1.09
2.63, 1.09
2.74, 1.09
2.90, 1.09
3.13, 1.10
3.26, 1.10
3.46, 1.10
3.59, 1.10
3.89, 1.11
4.03, 1.11
4.19, 1.11
4.45, 1.11
4.84, 1.12
5.00, 1.12
5.19, 1.12
5.35, 1.12
5.63, 1.13
5.85, 1.13
6.01, 1.13
6.16, 1.13
6.97, 1.14
7.13, 1.14
7.33, 1.14
7.53, 1.14
7.90, 1.16
8.14, 1.16
8.30, 1.16
8.45, 1.16
9.00, 1.17
9.27, 1.17
9.44, 1.17
9.70, 1.17
10.53, 1.18
10.73, 1.18
10.94, 1.18
11.13, 1.18
11.94, 1.19
12.17, 1.19
12.40, 1.19
12.58, 1.19
12.83, 1.19
13.30, 1.20
13.48, 1.20
13.73, 1.20
13.92, 1.20
14.20, 1.20
14.69, 1.21
14.89, 1.21
15.15, 1.21
15.35, 1.21
15.63, 1.21
16.29, 1.22
16.50, 1.22
16.81, 1.22
17.03, 1.22
17.32, 1.22
18.01, 1.23
18.29, 1.23
18.52, 1.23
18.81, 1.23
19.06, 1.23
19.79, 1.24
19.99, 1.24
20.27, 1.24
20.51, 1.24
20.79, 1.24
21.13, 1.24
21.73, 1.26
21.99, 1.26
22.32, 1.26
22.58, 1.26
22.87, 1.26
23.99, 1.27
24.28, 1.27
24.75, 1.27
25.02, 1.27
25.40, 1.27
25.71, 1.27
26.56, 1.28
26.93, 1.28
27.20, 1.28
27.61, 1.28
27.90, 1.28
28.32, 1.28
29.60, 1.29
29.89, 1.29
30.22, 1.29
30.65, 1.29
30.92, 1.29
31.37, 1.29
32.60, 1.30
33.05, 1.30
33.46, 1.30
33.90, 1.30
34.21, 1.30
34.59, 1.30
36.09, 1.31
36.43, 1.31
36.77, 1.31
37.21, 1.31
37.58, 1.31
38.13, 1.31
38.45, 1.31
39.89, 1.32
40.29, 1.32
40.72, 1.32
41.08, 1.32
41.57, 1.32
41.91, 1.32
42.39, 1.32
44.92, 1.33
45.41, 1.33
45.81, 1.33
46.35, 1.33
46.73, 1.33
47.32, 1.33
47.70, 1.33
50.56, 1.34
50.96, 1.34
51.49, 1.34
51.92, 1.34
52.43, 1.34
52.82, 1.34
53.36, 1.34
53.74, 1.34
54.40, 1.34
56.45, 1.36
57.05, 1.36
57.42, 1.36
58.06, 1.36
58.48, 1.36
58.95, 1.36
59.39, 1.36
59.96, 1.36
60.37, 1.36
61.11, 1.36
63.57, 1.37
64.16, 1.37
64.58, 1.37
65.05, 1.37
65.48, 1.37
65.92, 1.37
66.55, 1.37
66.94, 1.37
67.52, 1.37
67.95, 1.37
68.58, 1.37
